INFO 2026-01-22 21:31:53,686 autoreload 11344 23732 Watching for file changes with StatReloader
INFO 2026-01-22 22:08:17,990 log 23808 6268 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4322
INFO 2026-01-22 22:09:40,049 autoreload 9068 15092 Watching for file changes with StatReloader
INFO 2026-01-22 22:09:47,265 log 9068 16044 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4322
INFO 2026-01-22 22:09:55,398 log 9068 16044 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-01-22 22:09:55,502 log 9068 16044 "GET /admin/ HTTP/1.1" 200 11143
INFO 2026-01-22 22:09:55,688 log 9068 16044 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-01-22 22:09:55,720 log 9068 23096 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-01-22 22:09:55,722 log 9068 16044 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-01-22 22:10:04,913 log 9068 14496 "GET /admin/accounts/account/ HTTP/1.1" 200 13887
INFO 2026-01-22 22:10:04,998 log 9068 14496 "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2026-01-22 22:10:05,081 log 9068 23536 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-01-22 22:10:05,105 log 9068 26160 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-01-22 22:10:05,109 log 9068 14496 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-01-22 22:10:05,157 log 9068 23536 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-01-22 22:10:05,174 log 9068 26160 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-01-22 22:10:05,175 log 9068 26308 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-01-22 22:10:05,188 log 9068 1432 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:05,208 log 9068 23536 "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-01-22 22:10:05,297 log 9068 3864 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-01-22 22:10:05,337 log 9068 3864 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-01-22 22:10:05,393 log 9068 14496 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-01-22 22:10:05,449 log 9068 14496 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-01-22 22:10:05,450 log 9068 3864 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-01-22 22:10:10,514 log 9068 21824 "GET /admin/accounts/account/add/ HTTP/1.1" 200 17271
INFO 2026-01-22 22:10:10,585 log 9068 25680 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:10,593 log 9068 21824 "GET /static/admin/css/forms.css HTTP/1.1" 200 8788
INFO 2026-01-22 22:10:10,614 log 9068 20404 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-01-22 22:10:10,681 log 9068 20404 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2026-01-22 22:10:10,688 log 9068 21824 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-01-22 22:10:23,889 log 9068 18764 "GET /admin/auth/group/ HTTP/1.1" 200 12410
INFO 2026-01-22 22:10:23,960 log 9068 18764 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:28,568 log 9068 2880 "GET /admin/auth/group/add/ HTTP/1.1" 200 16980
INFO 2026-01-22 22:10:28,626 log 9068 2880 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:28,693 log 9068 17976 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2026-01-22 22:10:28,700 log 9068 2880 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-01-22 22:10:28,828 log 9068 2880 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2026-01-22 22:10:32,477 log 9068 2880 "GET /admin/categories/category/ HTTP/1.1" 200 24708
INFO 2026-01-22 22:10:32,554 log 9068 2880 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:32,569 log 9068 17976 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2026-01-22 22:10:32,707 log 9068 17976 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-01-22 22:10:48,485 log 9068 25760 "GET /admin/profiles/profile/ HTTP/1.1" 200 16505
INFO 2026-01-22 22:10:48,556 log 9068 25760 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:10:58,288 log 9068 5248 "GET /admin/transactions/transaction/ HTTP/1.1" 200 15473
INFO 2026-01-22 22:10:58,340 log 9068 5248 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:11:00,625 log 9068 5248 "GET /admin/transactions/transaction/add/ HTTP/1.1" 200 21257
INFO 2026-01-22 22:11:00,929 log 9068 5248 "GET /admin/jsi18n/ HTTP/1.1" 200 8498
INFO 2026-01-22 22:11:01,020 log 9068 18236 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9159
INFO 2026-01-22 22:11:01,022 log 9068 1012 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19698
INFO 2026-01-22 22:11:01,110 log 9068 1012 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 689
INFO 2026-01-22 22:11:01,184 log 9068 1012 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
